Nummer,Objecttype,lon,lat,glg_m_nap,glg_depth_below_ground_m,swing_m,trend_mm_per_year,nearest_well_m,n_wells_within_400m,support
WF060426,Muur,5.1166882,52.0923675,0.9248307684584385,2.9047159246874488,0.5196619394422696,-103.13221198978914,273.1575126947151,1,weakly supported
WF060342,Muur,5.1250799,52.0882603,1.1852703295123093,2.9707277811618065,0.4074248773548104,-92.06379341880037,370.4611450805727,3,weakly supported
WF060721,Muur,5.1273565,52.0851579,0.7652030904588275,2.560156882328737,0.2770763067960584,-72.11812534039747,241.88712794016493,2,interpolated
BS030015,Damwand,5.1407978,52.1138723,-0.035617936380065475,1.681938067820671,0.18386791280264403,-79.46188680257461,271.4776654508877,1,weakly supported
BS050109,Damwand,5.1291895,52.086211,0.9738101465849982,2.2831059680645023,0.3970987701334075,-165.53935369978416,234.88667811385386,1,interpolated
BS060019,Damwand,5.1180797,52.085932,0.4057458723708064,2.5562465120190137,0.31843948617943807,-15.078179820386252,155.7474777605665,2,interpolated
BS030045,Damwand,5.1175939,52.1227446,-0.421262242347133,2.098055281502202,0.2953104959140206,-4.97688958939144,418.40506597064604,0,weakly supported
WF060198,Muur,5.1171071,52.0929291,0.9248400569043573,2.890031148419698,0.5246892078925385,-102.57274271457953,277.34627777524656,1,weakly supported
BS050194,Beschoeiing,5.1485494,52.0781617,0.47754255928456046,1.6903039433979086,0.1781375616356953,37.08063128089542,139.7170754988664,1,interpolated
KM060047,Kademuur,5.1155129,52.0965466,0.13021214567884926,2.3506795593178587,0.4685690914153039,-68.25519791605687,261.60323006980485,3,weakly supported
WF060020,Muur,5.1205219,52.0903463,1.624521081139446,3.625442326990445,0.5038098750459037,-57.27454675726359,152.24904563775792,2,interpolated
BS090175,Damwand,5.0840651,52.0686425,-0.44283891748437937,1.0823162359164236,0.18255301747517655,-8.324638653822436,179.56916443159847,2,interpolated
BS030002,Beschoeiing,5.0949899,52.1267129,-0.6919563400679087,2.2436192333804805,0.2092161010211067,0.059983797297666244,369.3850455171937,1,weakly supported
BS010025,Beschoeiing,5.0932242,52.0871658,0.22684691763719908,1.7917543359182402,0.22678278351596168,-4.444032963057668,278.4903872711399,2,weakly supported
BS090189,Damwand,5.079461,52.0706482,-0.49042834602797014,1.0452282607097663,0.19894988429634736,-8.370699553040719,211.67652840710852,1,interpolated
WF060723,Muur,5.1237792,52.0967906,0.24579028045862875,2.3223619122552703,0.4090917749324628,61.822309897483116,320.27158752964664,3,weakly supported
WF060259,Muur,5.1262794,52.0912042,1.1078678266133262,2.7703223296127715,0.3886823101981477,-58.74414433587569,230.87675139287813,3,interpolated
WF060142,Muur,5.116078,52.0960307,0.39906194553195107,2.4380518778571303,0.506604597742618,-79.1242392182239,324.7310836839852,2,weakly supported
BS030074,Damwand,5.1188929,52.1221719,-0.39380522958707226,2.085097748366755,0.27699259727269954,-6.222565796264544,386.59101573379024,1,weakly supported
KM070020,Kademuur,5.1403754,52.0653038,0.42395154565972853,1.1429005110899983,0.32285271309910557,3.332914215726093,102.00962492990034,9,interpolated
WF060603,Muur,5.1223574,52.0852163,0.711377326432903,2.763365278111648,0.28324360016312367,-40.19273503242314,261.4421488490202,2,weakly supported
BS020055,Damwand,5.1063485,52.1074746,-0.28280702100253524,1.8814628615387456,0.4649422513518043,-1.1352720894722084,289.6609008762942,4,weakly supported
WF060684,Muur,5.122865,52.0820001,0.4908459734430783,2.3407318011398153,0.19915153572950436,-15.811042108895272,224.51788774585904,1,interpolated
WF060725,Muur,5.1251478,52.090462,1.4305900460310537,3.267364473104406,0.4620498255254326,-64.99329515027067,206.671095405212,3,interpolated
WF060901,Kademuur,5.1231296,52.0937602,1.2116966978189263,3.123240801677475,0.4798334668047124,-17.811089989326316,296.09311769235893,2,weakly supported
BS100279,Beschoeiing,5.0314339,52.0850186,-0.5053904880407692,1.247503802521253,0.38083571385842796,10.010094840236453,260.4836510620832,3,weakly supported
WF060622,Muur,5.122762,52.0851898,0.7060836350004245,2.75148590636449,0.2697972928195959,-40.17331855383003,240.734673773933,1,interpolated
WF060695,Muur,5.1238048,52.0964357,0.470525566111054,2.142294571237154,0.4547817449079574,52.40143618020178,322.3680648131471,3,weakly supported
BS100404,Damwand,5.0267738,52.0811523,-1.0245662801569186,1.409542932413281,0.34582256668814537,-13.237903407521062,189.49149400295332,3,interpolated
WF060444,Muur,5.1170305,52.0920713,1.0389293806474655,3.047799400642251,0.5103628310197993,-92.63187370394486,309.90713724729153,3,weakly supported
KW040023,Muur,5.1274975,52.0987672,0.21941024297198397,2.13113925684278,0.4592491473651651,91.4734241771906,218.27688718226617,3,interpolated
BS030022,Damwand,5.102452,52.1292961,-0.8379368779987751,1.875680735540101,0.22030206352169204,-0.18591458262203273,761.3899514519948,0,no support
WF060584,Muur,5.1221228,52.0858621,0.7839083934487413,2.845665660303756,0.31820047901289794,-46.140914703010274,326.43443414572585,2,weakly supported
BS010019,Beschoeiing,5.1004995,52.0893408,0.16578058893093503,2.041521420609346,0.3435137245100309,-21.086862998289668,309.5637846031434,2,weakly supported
WF060213,Muur,5.1167908,52.0927862,0.8894370924693673,2.842715936539914,0.5281497071458316,-107.51552741257353,261.03069894377194,1,weakly supported
DW010035,Damwand,5.0806345,52.097347,-0.28105693875534093,1.8966965377111216,0.276919280932924,-52.3155883370144,149.08221931024082,1,interpolated
BS040048,Beschoeiing,5.1460962,52.0999438,0.27114334523526895,1.583848272442395,0.2431975255318789,-4.144894846624487,323.67361579471293,1,weakly supported
KWB03001-01,Muur,5.1015691,52.1278118,-0.7327800087591689,2.0141302168253596,0.24835300544415642,-0.018766057430613103,598.8853915067683,0,no support
KM060027,Kademuur,5.1242531,52.0902178,1.5799138904388712,3.4756103696014455,0.48922206412403635,-63.036577032930666,166.56334182958483,3,interpolated
BS050116,Damwand,5.1564245,52.0981724,0.4300963905134854,0.7761821646168541,0.15483613426592932,17.837360398332194,94.09094800167391,2,measured nearby
WFM06739-X,Muur,5.1232502,52.083758,0.5244648998198661,2.5626170419219036,0.16961584746166256,-21.5565221310037,123.50587863797908,1,interpolated
BS100341,Damwand,4.9945013,52.1292291,-1.263002013034301,1.4572562073574447,0.24439814357440529,-27.982177635746115,179.16816004516647,1,interpolated
BS070023,Damwand,5.1151466,52.0658445,0.41683630397387667,1.2673070303217668,0.48005019081468736,-5.832024113330028,179.16714432812313,4,interpolated
WF060509,Muur,5.121458,52.0887421,1.3459353707468202,3.409754196096056,0.4393396354386734,-58.899546108078525,273.26960329796384,3,weakly supported
BS100347,Beschoeiing,5.0300452,52.0961331,-0.2558738281654509,1.4560788362163126,0.31352490121611304,4.626333581947989,207.3876808439578,1,interpolated
WF060515,Muur,5.1215295,52.0885651,1.2991684702754085,3.3702064022398015,0.43017676527346427,-58.838986409659384,291.53680291987246,3,weakly supported
BS030041,Damwand,5.1231268,52.1204792,-0.29609396974575886,1.9951416360607954,0.24390855133242575,-4.115030194910643,442.05551199095254,0,weakly supported
WF060346,Muur,5.1247043,52.0883827,1.2285531871539797,3.0571554237031893,0.4135863909543251,-85.14208615437819,346.7496407372177,3,weakly supported
WF060267,Muur,5.1257408,52.0907369,1.3007277878108265,3.0111894076719734,0.42980753445723613,-65.37343140460183,237.25084987627434,3,interpolated
WF060728,Muur,5.1255381,52.0875658,1.076141672359612,2.805422472459812,0.3838181219849692,-103.35884901912283,345.4811664596773,1,weakly supported
WF060167,Muur,5.1167358,52.0942551,0.71439456642907,2.6500556012442376,0.5356816411772658,-111.60147478582455,256.49449520952805,1,weakly supported
BS070034,Damwand,5.1127123,52.0615095,0.3637650471472052,1.1227811853801697,0.3741022352529386,-38.50683422946856,206.12970338018013,5,interpolated
WF060706,Muur,5.1237634,52.0966251,0.2492100154584155,2.3396939590008152,0.40869256666719905,62.519333086349015,322.53764238184453,3,weakly supported
WF060094,Muur,5.1258339,52.0874954,1.0596713423152246,2.750690184797549,0.38355585742626974,-109.77578378081762,327.3432796003114,1,weakly supported
WFM06814-X,Muur,5.1268975,52.0860685,0.8893008313534911,2.537356903790649,0.33969015119497453,-100.67755388418308,310.4628509236597,2,weakly supported
BS080036,Beschoeiing,5.1010897,52.072144,-0.12239401042562428,1.8108603694399035,0.5255348315411099,74.3079674300598,136.0327525547709,6,interpolated
BS100277,Beschoeiing,5.0337523,52.0859049,-0.35966281795978,1.3113754000458633,0.39601443173487005,9.829623506754391,176.0398883844662,3,interpolated
WF060338,Muur,5.123969,52.0898425,1.560011003228012,3.4557269660693106,0.4854452716395721,-64.49450677713169,182.5426800054889,2,interpolated
WF060091,Muur,5.1250237,52.088109,1.1678579668398432,2.957386925829372,0.4023495249446416,-92.20804327946279,374.21219827521276,3,weakly supported
WF060531,Muur,5.1215759,52.087652,1.0590951884862059,3.1713065531901625,0.38331918954845323,-55.40532597023824,372.8025410713964,3,weakly supported
WF060532,Muur,5.1217552,52.088033,1.168192080864891,3.2505022034070024,0.4047874013174506,-58.569824706638535,347.6819232186016,3,weakly supported
WF060256,Muur,5.126108,52.0914781,1.1454198328237675,2.820389500047234,0.39427391045835863,-57.19785997466336,238.5411796670207,3,interpolated
