gld_bro_id,lon,lat,screen_depth_below_ground_m,first_date,last_date,n_readings,mean_level_m_nap,trend_mm_per_year,ground_level_m_nap,glg,ghg,n_years,gvg,swing,glg_depth_m
GLD000000049810,5.249358417,52.081640309,2.11,2021-02-16,2023-03-03,17890,2.559857853549469,,4.39,2.3181875,2.929625,2,2.718192708333333,0.6114375000000001,2.0718124999999996
GLD000000049814,5.244484794,52.080590082,2.28,2021-02-16,2025-06-02,37418,2.4472798920305734,96.80363242477286,4.16,2.2188680555555553,2.7437326388888885,4,2.5349174679487176,0.5248645833333332,1.9411319444444448
GLD000000062624,5.121990775,52.022900138,1.04,2024-05-15,2025-06-28,9833,-0.5315623919454897,,0.37,-0.6424305555555555,-0.33019444444444446,1,-0.6100416666666666,0.31223611111111105,1.0124305555555555
GLD000000062625,5.102920503,52.047296187,1.11,2024-05-01,2025-06-27,10169,0.8912158520995183,,1.68,0.7841527777777778,1.02525,1,0.7894791666666667,0.24109722222222219,0.8958472222222221
GLD000000062626,5.085055138,52.034659401,1.66,2024-04-30,2025-06-28,10191,-0.18898223923069377,,1.48,-0.5119583333333333,0.2578472222222222,1,-0.2259375,0.7698055555555555,1.9919583333333333
GLD000000062627,5.08819875,52.033326386,0.99,2024-04-30,2025-06-28,10189,0.0726570811659633,,1.23,0.021069444444444443,0.2894305555555556,1,0.03166666666666667,0.26836111111111116,1.2089305555555556
GLD000000062628,5.084173575,52.02774615,2.61,2024-07-04,2025-06-28,8634,0.41897903636784806,,2.31,0.23406944444444444,0.6841805555555557,1,0.21952083333333333,0.45011111111111124,2.075930555555556
GLD000000062630,5.083321922,52.040526893,2.06,2024-04-30,2025-06-28,10177,-0.5126105925125283,,1.49,-0.5961388888888889,-0.37390277777777775,1,-0.5648333333333333,0.22223611111111113,2.0861388888888888
GLD000000062631,5.111897949,52.047184463,2.03,2024-05-01,2025-06-28,10156,-0.15223877510831038,,2.0,-0.1872222222222222,-0.0921111111111111,1,-0.164625,0.0951111111111111,2.187222222222222
GLD000000062889,4.95478722,52.09167078,1.41,2021-01-01,2024-11-14,26397,-0.8930904648255483,-53.90529889843287,0.33,-1.6014791666666666,-0.4229791666666667,2,-1.0678854166666667,1.1784999999999999,1.9314791666666666
GLD000000064590,4.94309323,52.09960881,1.98,2021-01-01,2024-11-14,33596,-1.4465162817002024,-206.107752395828,0.57,-1.715726851851852,-0.9911588164251208,3,-1.3847986111111112,0.7245680354267312,2.285726851851852
GLD000000064619,5.09071078,52.14681003,0.44,2007-05-15,2025-04-01,46610,-1.0817429950654365,-2.472884438972315,-0.95,-1.1354236111111111,-1.0312881944444443,8,-1.1029570312499999,0.10413541666666681,0.18542361111111116
GLD000000064624,5.12964441,52.13187332,0.21,2015-12-16,2024-03-25,1179,-0.3971136556403732,17.57832007195581,-0.21,-0.5121666666666667,-0.2966666666666667,1,-0.37925,0.21549999999999997,0.3021666666666667
GLD000000066209,4.96662982,52.08765995,2.11,2021-01-01,2024-11-14,25001,-1.5485575376984921,-1.2888306079874212,-0.922,-1.6388472222222221,-1.4972708333333333,2,-1.565463541666667,0.1415763888888888,0.7168472222222221
GLD000000066468,4.949227736,52.146819297,1.32,2021-02-12,2024-11-12,21528,-0.5604862969156448,,-0.106,-0.6981736111111112,-0.44671739130434784,2,-0.5483489583333334,0.25145621980676336,0.5921736111111112
GLD000000066471,5.041633228,52.139620951,3.38,2021-01-01,2025-01-31,18214,-0.7809052377292193,111.31220948797633,1.385,-0.9136056763285024,-0.7803177777777778,1,-0.8751041666666667,0.13328789855072465,2.2986056763285023
GLD000000066475,5.079426926,52.139051417,1.7,2021-01-01,2024-06-30,19138,-1.0580245584700596,-6.800325217672836,-0.034,-1.187077850877193,-0.9221319444444444,2,-1.0935190972222222,0.26494590643274873,1.153077850877193
GLD000000066476,5.030678676,52.126654545,1.19,2021-02-12,2025-01-31,22793,-1.1063411134997587,-24.654579012183575,-0.6,-1.3497291666666666,-0.9564444444444444,2,-1.055625,0.3932847222222222,0.7497291666666667
GLD000000066479,4.954985787,52.149662776,3.3,2021-02-12,2024-11-12,18692,-1.9025265354162206,,-1.208,-1.9401488526570048,-1.8431625,2,-1.9125625,0.09698635265700473,0.7321488526570048
GLD000000066482,4.950916041,52.151966724,2.56,2021-01-01,2024-11-12,11234,-2.0522818230372084,,-1.15,-2.1355833333333334,-2.0308055555555558,1,-2.1270625,0.10477777777777764,0.9855833333333335
GLD000000066484,5.0682196,52.143632545,2.66,2021-01-01,2024-06-30,18552,-1.5010906101768005,-33.59692161455779,-0.854,-1.6251398809523807,-1.3599861111111111,2,-1.568859375,0.2651537698412696,0.7711398809523807
GLD000000066490,5.050382461,52.143591994,2.5,2021-01-01,2025-01-31,25483,-1.243409253227642,-1.4977261688900183,-0.089,-1.4136898148148147,-1.1156944444444443,3,-1.233767361111111,0.2979953703703704,1.3246898148148147
GLD000000066501,4.949221282,52.148967422,2.12,2024-03-27,2024-11-12,3130,-2.0559536741214055,,-1.305,-2.2550694444444446,-1.9171944444444444,1,,0.33787500000000015,0.9500694444444446
GLD000000066502,5.012341094,52.140079844,1.03,2021-02-12,2025-01-31,21574,-1.4464893390191897,6.959690302304012,-0.546,-1.5957508051529794,-1.3368760064412237,3,-1.4185445350241546,0.25887479871175567,1.0497508051529794
GLD000000066504,5.039069281,52.1387236,2.38,2021-01-01,2025-01-31,23154,0.04917167660015548,30.74190737776298,1.24,-0.24739814814814812,0.28230555555555553,3,0.10476388888888888,0.5297037037037037,1.4873981481481482
GLD000000066511,5.056664813,52.135619364,2.45,2021-01-01,2025-01-31,21186,-0.7911994241480224,-26.563065751608324,0.063,-0.8951944444444444,-0.7148888888888889,2,-0.7842187500000001,0.1803055555555555,0.9581944444444443
GLD000000066514,5.041183987,52.148589714,2.13,2021-01-01,2025-01-31,16646,-0.6292630662020906,-34.55344783232409,0.174,-0.9149999999999999,-0.3955730676328502,1,-0.6663333333333333,0.5194269323671497,1.089
GLD000000066515,5.034948271,52.138945066,2.27,2021-01-01,2025-01-31,23873,-0.33877824320361916,13.934007282666677,0.516,-0.5226064814814815,-0.22766203703703702,3,-0.30603125000000003,0.29494444444444445,1.0386064814814815
GLD000000066519,4.953075034,52.147822198,1.05,2021-02-05,2024-11-12,13637,-2.0411054484124076,,-1.659,-2.1989444444444444,-1.7589861111111114,1,-2.076208333333333,0.439958333333333,0.5399444444444443
GLD000000066595,5.05532401,52.15882276,2.0,2013-11-22,2025-05-08,64039,-3.520920813879042,2.676690828507473,-3.27,-3.6940736111111105,-3.437979166666666,10,-3.5975458333333337,0.2560944444444444,0.4240736111111105
GLD000000067155,5.142942377,52.066333612,1.39,2020-01-01,2022-12-31,25464,1.0255086396481308,,1.844,0.6889120370370371,1.552726851851852,3,0.9024479166666667,0.8638148148148149,1.1550879629629631
GLD000000067157,5.15312572,52.059990725,3.71,2020-01-01,2022-12-31,25920,0.5662771219135803,,1.95,0.42067129629629624,0.7089212962962962,3,0.5697256944444445,0.28824999999999995,1.5293287037037038
GLD000000067158,5.155102333,52.072488008,0.83,2020-01-01,2022-12-31,23231,0.5658575610176058,,1.829,0.49086111111111114,0.6386388888888889,3,0.55934375,0.14777777777777773,1.3381388888888888
GLD000000067161,5.146330398,52.068183129,6.83,2020-01-01,2022-12-31,25939,0.532651567138286,,1.84,0.4292407407407408,0.6441990740740741,3,0.5255868055555556,0.21495833333333325,1.4107592592592593
GLD000000067163,5.159786556,52.074914912,3.45,2020-01-01,2022-12-31,25728,0.619334227300995,,2.33,0.5345509259259259,0.7010462962962963,3,0.6178958333333333,0.16649537037037043,1.795449074074074
GLD000000067164,5.153372584,52.0713521,1.74,2020-01-01,2022-12-31,25944,0.5881901403021893,,2.287,0.39630555555555563,0.7763749999999999,3,0.6098194444444445,0.3800694444444443,1.8906944444444442
GLD000000067167,5.155174607,52.072613983,0.66,2020-01-01,2022-12-31,23231,0.6091946536954931,,1.69,0.5229953703703702,0.6933703703703703,3,0.5912222222222222,0.17037500000000005,1.1670046296296297
GLD000000067171,5.161822626,52.067422803,1.18,2020-01-01,2022-12-31,25355,0.5185934135279038,,2.2,0.30680555555555555,0.6289583333333333,3,0.4368506944444444,0.32215277777777773,1.8931944444444446
GLD000000067172,5.151575385,52.066423079,5.88,2020-01-01,2022-12-31,25944,0.5454353222325008,,1.62,0.40469444444444447,0.6899351851851853,3,0.5404027777777779,0.2852407407407408,1.2153055555555556
GLD000000067174,5.141885867,52.064857379,3.23,2020-01-01,2022-12-31,25968,0.41210347350585336,,1.411,0.30603703703703705,0.5249722222222223,3,0.42349305555555555,0.21893518518518523,1.104962962962963
GLD000000067175,5.154727954,52.054708922,5.84,2020-01-01,2022-12-31,25944,0.5552673450508788,,2.15,0.4429953703703704,0.679425925925926,3,0.5653506944444445,0.2364305555555556,1.7070046296296295
GLD000000067176,5.137139709,52.068658348,4.95,2020-01-01,2022-12-31,25944,0.450413814369411,,1.89,0.3731388888888889,0.5352546296296297,3,0.45272222222222225,0.16211574074074075,1.516861111111111
GLD000000067177,5.161536533,52.063422579,3.88,2020-01-01,2022-12-31,25631,0.6353709180289493,,1.43,0.4909629629629629,0.7749768518518518,3,0.6456458333333334,0.28401388888888895,0.9390370370370371
GLD000000067181,5.147716542,52.065336741,4.68,2020-01-01,2022-12-31,25920,0.5398271219135802,,2.02,0.3922638888888889,0.6920046296296296,3,0.5378125000000001,0.2997407407407407,1.627736111111111
GLD000000067183,5.163706415,52.05816871,5.77,2020-01-01,2022-12-31,25795,0.613272145764683,,2.37,0.4077175925925926,0.8195324074074074,3,0.6508159722222223,0.4118148148148148,1.9622824074074074
GLD000000067185,5.152164149,52.070945237,1.29,2020-01-01,2022-12-31,23159,0.5947815104279115,,2.223,0.426425925925926,0.7788287037037037,3,0.5788888888888889,0.35240277777777773,1.7965740740740739
GLD000000067186,5.148505538,52.070524442,4.87,2020-01-01,2022-12-31,25920,0.5089018904320988,,1.976,0.4114351851851852,0.6077268518518518,3,0.503875,0.19629166666666664,1.5645648148148148
GLD000000067190,5.150434439,52.069827262,2.71,2020-01-01,2022-12-30,25346,0.6818535469107553,,2.257,0.4853657407407408,0.9034166666666668,3,0.6859706439393939,0.41805092592592596,1.7716342592592593
GLD000000067191,5.148151878,52.079394925,4.72,2020-01-01,2022-12-31,25848,0.5595463478799133,,2.19,0.4718287037037037,0.6407777777777778,3,0.548991792929293,0.16894907407407406,1.7181712962962963
GLD000000067192,5.136557844,52.0345294,3.81,2020-01-01,2022-12-31,25968,-0.029147681762168826,,0.77,-0.15210648148148145,0.0855925925925926,3,-0.03822222222222222,0.23769907407407403,0.9221064814814814
GLD000000067193,5.147341678,52.061812664,4.45,2020-01-01,2022-12-31,25944,0.49750790163428926,,1.35,0.35243981481481484,0.6466851851851853,3,0.49590972222222224,0.2942453703703704,0.9975601851851852
GLD000000067196,5.140486771,52.075280596,3.51,2020-01-01,2022-12-31,25848,0.6044761296812132,,2.15,0.5455787037037038,0.6552167874396134,3,0.5983715277777778,0.10963808373590966,1.6044212962962963
GLD000000067199,5.135918269,52.060215969,4.93,2020-01-01,2022-12-31,25632,0.3249760845817728,,1.65,0.2351296296296296,0.4226435185185185,3,0.34931944444444446,0.1875138888888889,1.4148703703703702
