gld_bro_id,kind,lon,lat,screen_depth_below_ground_m,first_date,last_date,n_observations,file
GLD000000013747,preliminary,5.05855861,52.08433695,0.82,2021-04-13,2026-06-01,55,GLD000000013747_preliminary.csv
GLD000000013748,preliminary,5.11317799,52.07159634,0.62,2021-04-16,2026-06-01,64,GLD000000013748_preliminary.csv
GLD000000013749,preliminary,5.1163877,52.11905361,4.55,2021-04-26,2026-06-01,66,GLD000000013749_preliminary.csv
GLD000000013750,preliminary,5.03687316,52.10635371,0.62,2021-04-09,2026-06-01,62,GLD000000013750_preliminary.csv
GLD000000013751,preliminary,5.11343049,52.11609041,1.62,2021-04-14,2026-06-01,62,GLD000000013751_preliminary.csv
GLD000000013752,preliminary,5.10236398,52.12244509,1.27,2021-04-26,2026-06-01,62,GLD000000013752_preliminary.csv
GLD000000013753,preliminary,5.01903188,52.09213148,6.71,2021-04-23,2026-06-01,65,GLD000000013753_preliminary.csv
GLD000000013754,preliminary,5.04042494,52.10920087,1.19,2021-04-09,2026-05-31,67,GLD000000013754_preliminary.csv
GLD000000013755,preliminary,5.10227545,52.10845952,1.27,2021-04-15,2026-05-17,66,GLD000000013755_preliminary.csv
GLD000000013756,preliminary,5.06695119,52.0850378,0.64,2021-04-13,2026-06-01,66,GLD000000013756_preliminary.csv
GLD000000013757,preliminary,5.04339571,52.11178105,2.82,2021-04-23,2026-06-01,65,GLD000000013757_preliminary.csv
GLD000000013758,preliminary,5.12248359,52.10075971,1.26,2021-04-14,2026-06-01,66,GLD000000013758_preliminary.csv
GLD000000013759,preliminary,5.10236398,52.12244509,4.08,2021-04-26,2026-06-01,66,GLD000000013759_preliminary.csv
GLD000000013760,preliminary,5.01903188,52.09213148,1.57,2021-04-23,2026-05-01,65,GLD000000013760_preliminary.csv
GLD000000013761,preliminary,5.13057905,52.0580833,0.55,2021-04-20,2026-05-29,62,GLD000000013761_preliminary.csv
GLD000000013762,preliminary,5.10665814,52.09945342,0.62,2021-05-19,2024-08-01,32,GLD000000013762_preliminary.csv
GLD000000013763,preliminary,5.00050937,52.10116819,0.53,2021-04-30,2026-06-01,60,GLD000000013763_preliminary.csv
GLD000000013764,preliminary,5.00477901,52.08146217,5.29,2021-10-07,2026-06-01,63,GLD000000013764_preliminary.csv
GLD000000013765,preliminary,5.08713296,52.09412669,0.62,2021-04-15,2026-06-01,66,GLD000000013765_preliminary.csv
GLD000000013766,preliminary,5.14826296,52.06405525,3.9,2021-04-20,2026-06-01,63,GLD000000013766_preliminary.csv
GLD000000013767,preliminary,5.12302829,52.1165019,1.63,2021-04-14,2026-06-01,67,GLD000000013767_preliminary.csv
GLD000000013768,preliminary,5.06791913,52.08546988,2.67,2021-04-29,2026-06-01,57,GLD000000013768_preliminary.csv
GLD000000013769,preliminary,5.05438872,52.10111116,1.63,2021-04-09,2026-06-01,61,GLD000000013769_preliminary.csv
GLD000000013770,preliminary,5.05628908,52.08462245,0.59,2021-04-13,2026-03-23,50,GLD000000013770_preliminary.csv
GLD000000013771,preliminary,5.02225918,52.07908926,0.81,2021-04-12,2026-06-01,66,GLD000000013771_preliminary.csv
GLD000000013772,preliminary,5.10114794,52.09420919,1.35,2021-04-15,2023-06-20,23,GLD000000013772_preliminary.csv
GLD000000013773,preliminary,5.15551074,52.08657305,4.95,2021-04-19,2026-06-01,63,GLD000000013773_preliminary.csv
GLD000000013774,preliminary,5.14474089,52.08619011,1.09,2021-10-08,2026-06-01,62,GLD000000013774_preliminary.csv
GLD000000013775,preliminary,5.14182389,52.06552236,0.51,2021-04-20,2026-06-01,57,GLD000000013775_preliminary.csv
GLD000000013776,preliminary,5.0487241,52.08670169,0.15,2021-04-26,2026-06-01,49,GLD000000013776_preliminary.csv
GLD000000013777,preliminary,5.02274709,52.08203319,1.63,2021-04-12,2026-05-04,59,GLD000000013777_preliminary.csv
GLD000000013778,preliminary,5.13184185,52.07735002,1.64,2021-04-19,2026-06-01,61,GLD000000013778_preliminary.csv
GLD000000013779,preliminary,5.02438662,52.06700829,5.6,2021-04-22,2026-06-01,63,GLD000000013779_preliminary.csv
GLD000000013780,preliminary,5.12233485,52.09114114,1.24,2021-04-29,2026-06-01,65,GLD000000013780_preliminary.csv
GLD000000013781,preliminary,5.11569983,52.06175326,0.76,2021-04-19,2026-06-01,63,GLD000000013781_preliminary.csv
GLD000000013782,preliminary,5.03205967,52.07687724,4.79,2021-04-22,2026-06-01,66,GLD000000013782_preliminary.csv
GLD000000013783,preliminary,4.99755652,52.12014136,7.1,2021-04-26,2026-06-01,66,GLD000000013783_preliminary.csv
GLD000000013784,preliminary,5.0138598,52.09486019,0.5,2021-05-19,2026-06-01,61,GLD000000013784_preliminary.csv
GLD000000013785,preliminary,5.02764432,52.08629779,2.73,2021-04-23,2026-06-01,56,GLD000000013785_preliminary.csv
GLD000000013786,preliminary,5.10142491,52.10715409,4.5,2021-04-29,2026-06-01,65,GLD000000013786_preliminary.csv
GLD000000013787,preliminary,5.01124509,52.08950303,1.32,2021-04-09,2026-04-17,65,GLD000000013787_preliminary.csv
GLD000000013788,preliminary,5.09113732,52.10368938,1.66,2021-04-15,2026-06-01,66,GLD000000013788_preliminary.csv
GLD000000013789,preliminary,4.99755652,52.12014136,0.6,2021-04-26,2026-06-01,66,GLD000000013789_preliminary.csv
GLD000000013790,preliminary,5.12644944,52.06942437,1.69,2021-04-16,2026-06-01,61,GLD000000013790_preliminary.csv
GLD000000013791,preliminary,5.0402544,52.07802739,0.53,2021-04-12,2026-06-01,67,GLD000000013791_preliminary.csv
GLD000000013792,preliminary,5.12114404,52.06169102,0.6,2021-04-19,2026-06-01,66,GLD000000013792_preliminary.csv
GLD000000013793,preliminary,5.06457411,52.1042369,4.9,2021-04-30,2026-06-01,58,GLD000000013793_preliminary.csv
